id,area,quartos,banheiros,garagem,idade,localizacao,tipo_imovel,preco
94,191,1,2,0,8,Zona Sul,Cobertura,663221
95,231,4,1,0,38,Zona Oeste,Cobertura,249924
96,475,1,3,2,49,Zona Norte,Apartamento,810602
97,299,2,2,2,9,Centro,Apartamento,523037
98,380,5,1,3,1,Zona Sul,Cobertura,1213867
99,333,2,1,3,12,Zona Norte,Studio,1764404
100,300,5,2,2,37,Zona Sul,Apartamento,1908014
101,485,5,3,2,26,Zona Leste,Studio,1068971
102,491,3,3,2,40,Zona Norte,Studio,1693173
103,244,2,1,2,19,Zona Oeste,Apartamento,1327366
104,281,2,2,0,39,Zona Sul,Casa,667863
105,219,3,3,3,9,Zona Oeste,Casa,1198466
106,325,4,2,1,15,Zona Oeste,Casa,1317641
107,242,2,2,2,14,Zona Sul,Apartamento,1775919
108,237,1,1,2,12,Zona Sul,Studio,1507520
109,266,3,2,2,49,Centro,Apartamento,1729812
110,367,2,2,1,37,Centro,Cobertura,429898
111,396,4,2,3,19,Zona Norte,Studio,1372112
112,82,2,3,3,23,Zona Norte,Apartamento,1032173
113,309,5,1,2,40,Zona Norte,Studio,1393329
114,439,1,1,2,49,Centro,Apartamento,1811851
115,246,3,2,3,6,Zona Oeste,Cobertura,548911
116,281,5,2,1,22,Zona Leste,Cobertura,996167
117,217,4,3,2,23,Zona Leste,Cobertura,1876578
118,409,5,1,1,28,Zona Sul,Casa,1870346
119,70,5,3,1,4,Centro,Cobertura,574045
120,186,4,1,3,42,Zona Sul,Casa,918009
121,44,5,3,2,44,Zona Leste,Studio,501742
122,330,3,2,0,34,Zona Sul,Studio,531971
123,94,2,3,3,0,Centro,Studio,461626
124,374,5,2,3,35,Centro,Apartamento,557455
125,356,3,1,0,17,Centro,Apartamento,182549
126,38,2,1,2,5,Zona Leste,Casa,860183
127,373,2,2,1,22,Centro,Casa,1613342
128,158,5,1,1,9,Zona Norte,Casa,1050352
129,165,3,3,1,6,Zona Norte,Apartamento,1444397
130,92,5,2,2,43,Centro,Apartamento,534625
131,168,4,1,3,7,Zona Norte,Studio,1053342
132,110,2,3,3,12,Centro,Cobertura,1503802
133,421,5,3,3,29,Zona Leste,Cobertura,1514453
134,192,2,1,3,17,Zona Norte,Apartamento,513678
135,448,3,1,3,13,Zona Leste,Cobertura,1998327
136,318,1,3,0,10,Zona Norte,Studio,446043
137,408,5,2,1,41,Zona Oeste,Cobertura,1808711
138,290,5,1,1,37,Zona Oeste,Casa,1892684
139,260,2,1,2,12,Zona Leste,Studio,607234
140,70,3,2,0,41,Zona Norte,Apartamento,1209315
141,57,4,2,3,43,Zona Oeste,Casa,887161
142,164,3,1,3,32,Centro,Apartamento,1766275
143,230,5,2,3,49,Zona Sul,Apartamento,537187
144,357,4,3,0,12,Zona Oeste,Casa,1245022
145,297,3,3,2,24,Zona Oeste,Studio,1680769
146,447,1,3,0,23,Centro,Apartamento,1462892
147,62,2,1,2,28,Zona Oeste,Casa,830101
148,77,3,2,1,35,Zona Oeste,Casa,350535
149,436,3,3,2,5,Zona Oeste,Apartamento,543688
150,91,1,2,1,17,Zona Norte,Apartamento,696156
151,245,5,3,2,27,Zona Oeste,Studio,660320
152,322,2,2,1,4,Zona Sul,Casa,1071264
153,128,3,3,1,17,Zona Norte,Cobertura,359080
154,201,4,3,3,36,Zona Norte,Cobertura,211178
155,389,3,3,2,6,Zona Leste,Apartamento,1898991
156,243,2,3,3,8,Zona Oeste,Apartamento,1855996
157,64,3,3,1,34,Zona Sul,Studio,1954435
158,478,1,3,3,11,Zona Sul,Cobertura,826842
159,256,3,3,0,45,Zona Leste,Apartamento,1933446
160,130,3,3,3,39,Zona Sul,Apartamento,487265
161,460,4,3,2,43,Zona Norte,Cobertura,962729
162,491,1,2,3,38,Centro,Apartamento,775248
163,160,1,2,0,23,Zona Norte,Cobertura,1008426
164,286,3,1,3,8,Centro,Cobertura,1964733
165,34,4,3,1,11,Zona Sul,Studio,1125302
166,247,3,2,1,35,Zona Oeste,Cobertura,338357
167,284,3,2,1,36,Centro,Apartamento,1762898
168,427,2,2,2,8,Zona Norte,Casa,752329
169,388,2,2,3,38,Zona Norte,Casa,668547
170,312,4,2,1,45,Zona Norte,Casa,304572
171,422,5,2,3,21,Zona Norte,Studio,1740364
172,236,2,1,0,16,Zona Leste,Apartamento,162943
173,44,5,2,0,32,Zona Sul,Studio,747584
174,375,1,1,2,46,Zona Oeste,Studio,1705542
175,71,2,1,3,23,Zona Leste,Studio,914280
176,409,2,3,0,14,Zona Sul,Apartamento,1018848
177,490,4,3,2,28,Centro,Apartamento,1836401
178,208,5,3,2,31,Zona Leste,Apartamento,1773905
179,92,2,2,1,32,Zona Leste,Casa,323599
180,381,2,3,0,28,Zona Leste,Cobertura,929999
181,260,4,2,3,14,Zona Leste,Apartamento,870852
182,270,4,2,0,26,Centro,Apartamento,602477
183,81,5,3,0,33,Zona Norte,Studio,1779189
184,125,1,3,3,3,Zona Leste,Apartamento,1322560
185,417,1,1,3,48,Zona Sul,Cobertura,197114
186,251,3,1,1,47,Zona Norte,Casa,914405
187,436,2,2,2,17,Centro,Apartamento,1694166
188,260,5,2,3,20,Zona Oeste,Casa,323147
189,266,2,3,3,47,Centro,Apartamento,1719761
190,172,5,3,0,7,Zona Oeste,Casa,1972181
191,200,5,1,3,5,Zona Sul,Apartamento,1907038
192,58,5,3,3,19,Zona Oeste,Studio,1915912
193,65,2,2,0,1,Zona Leste,Casa,872623
194,42,4,3,0,44,Zona Norte,Studio,521166
195,189,2,1,0,21,Zona Norte,Studio,1972568
196,356,5,2,1,20,Zona Leste,Apartamento,955681
197,216,3,1,2,5,Zona Norte,Studio,259396
198,272,1,1,3,31,Centro,Studio,1386748
199,115,5,2,0,5,Zona Leste,Apartamento,1782710
200,313,3,1,0,12,Zona Leste,Studio,1750388
201,95,4,3,2,0,Zona Norte,Casa,1306924
202,199,5,3,1,21,Zona Oeste,Casa,1273106
203,74,3,1,3,23,Zona Sul,Cobertura,1349600
204,91,5,3,1,40,Zona Oeste,Cobertura,1684604
205,470,2,1,1,29,Centro,Cobertura,1558479
206,163,3,3,1,21,Zona Leste,Cobertura,477350
207,313,2,1,0,43,Zona Leste,Studio,129598
208,57,2,3,2,11,Centro,Casa,480862
209,137,3,2,2,25,Zona Sul,Cobertura,1337932
210,73,1,2,2,3,Zona Leste,Studio,1770199
211,369,3,3,1,18,Zona Oeste,Apartamento,450399
212,315,1,1,3,15,Centro,Casa,1351349
213,475,5,3,1,11,Zona Leste,Apartamento,799198
214,360,5,1,2,32,Zona Oeste,Cobertura,476911
215,157,3,3,0,20,Centro,Cobertura,1489851
216,377,5,3,1,35,Centro,Cobertura,950347
217,260,4,2,0,8,Centro,Casa,173830
218,219,2,1,2,38,Zona Sul,Apartamento,485752
219,254,2,1,1,41,Centro,Apartamento,1537837
220,414,1,1,0,44,Zona Norte,Casa,1622673
221,406,5,1,1,7,Zona Norte,Cobertura,689396
222,312,1,1,2,19,Centro,Cobertura,1183794
223,475,2,2,3,9,Zona Leste,Studio,1485403
224,150,2,3,2,31,Zona Norte,Casa,1635564
225,145,5,1,3,27,Zona Oeste,Apartamento,1391009
226,490,4,1,3,9,Zona Oeste,Studio,1563090
227,262,4,3,2,7,Zona Leste,Apartamento,125315
228,288,5,2,0,46,Zona Oeste,Apartamento,1121517
229,388,5,2,1,32,Zona Leste,Studio,1603393
230,227,1,2,1,46,Zona Oeste,Apartamento,338161
231,485,5,3,1,48,Centro,Studio,802679
232,440,4,3,3,12,Zona Oeste,Studio,791677
233,166,5,2,3,43,Centro,Studio,1181906
234,347,1,2,2,34,Zona Oeste,Cobertura,121394
235,194,1,3,0,28,Zona Oeste,Cobertura,462147
236,254,1,2,2,4,Zona Oeste,Casa,974746
237,336,1,1,2,2,Centro,Casa,207220
238,263,3,3,0,36,Zona Oeste,Studio,261653
239,201,5,2,3,40,Zona Oeste,Casa,1010745
240,181,2,1,2,5,Zona Sul,Cobertura,1687874
241,492,5,3,2,47,Centro,Cobertura,1821662
242,344,3,3,3,41,Zona Norte,Studio,806407
243,403,1,1,1,15,Zona Leste,Cobertura,1603619
244,189,3,3,0,34,Zona Sul,Studio,237300
245,125,4,2,0,17,Zona Oeste,Casa,917666
246,262,4,3,1,10,Zona Norte,Cobertura,480932
247,209,5,2,0,22,Zona Norte,Studio,446346
248,142,5,1,1,46,Zona Oeste,Studio,853052
249,347,2,1,2,10,Zona Oeste,Apartamento,886806
250,471,2,3,0,28,Zona Sul,Studio,306194
251,81,4,1,0,41,Centro,Studio,1833520
252,297,1,1,2,26,Zona Sul,Cobertura,1504705
253,324,3,3,3,8,Centro,Apartamento,1502387
254,415,2,2,3,34,Zona Norte,Apartamento,1960507
255,416,2,3,2,8,Zona Leste,Apartamento,1288680
256,142,1,3,0,17,Zona Oeste,Cobertura,1142114
257,130,1,2,0,43,Zona Sul,Casa,1178665
258,142,5,2,0,20,Zona Norte,Studio,835892
259,469,3,2,1,47,Zona Sul,Apartamento,751240
260,110,1,3,3,35,Centro,Apartamento,137491
261,216,2,2,0,0,Zona Oeste,Cobertura,183971
262,142,2,1,3,26,Centro,Cobertura,1294517
263,31,4,2,3,44,Centro,Apartamento,472550
264,159,1,1,0,39,Centro,Casa,769373
265,249,5,2,2,37,Zona Norte,Cobertura,1062442
266,83,3,1,2,28,Zona Oeste,Apartamento,535612
267,372,5,1,3,39,Zona Leste,Casa,888796
268,253,2,1,1,18,Zona Sul,Cobertura,508090
269,254,5,1,3,23,Centro,Casa,1057870
270,414,2,1,3,43,Zona Oeste,Apartamento,107821
271,432,2,2,2,0,Zona Sul,Casa,891046
272,155,2,3,0,35,Zona Oeste,Apartamento,728622
273,159,2,3,0,22,Zona Sul,Cobertura,1886779
274,82,2,3,1,12,Zona Oeste,Studio,1322058
275,201,4,3,2,29,Zona Leste,Studio,1436841
276,247,5,3,2,48,Zona Oeste,Apartamento,1907026
277,189,4,1,3,36,Zona Oeste,Studio,1770658
278,227,4,2,2,10,Centro,Apartamento,1636971
279,445,1,1,3,6,Centro,Studio,539244
280,276,1,2,1,34,Centro,Studio,1679622
281,353,1,2,2,10,Zona Oeste,Cobertura,1303499
282,468,3,2,2,48,Zona Leste,Apartamento,484053
283,232,1,2,3,42,Zona Sul,Casa,1344321
284,213,5,3,2,46,Centro,Cobertura,1213536
285,152,4,2,0,39,Zona Norte,Casa,1226117
286,430,5,2,1,47,Zona Oeste,Cobertura,1454584
287,284,1,3,0,20,Zona Leste,Apartamento,921458
288,323,3,1,3,46,Zona Leste,Casa,718264
289,309,3,1,3,2,Centro,Cobertura,1611870
290,354,4,1,3,29,Centro,Studio,853733
291,401,5,1,1,23,Zona Norte,Casa,699340
292,127,2,2,2,37,Zona Norte,Cobertura,340707
293,227,5,3,0,2,Centro,Cobertura,1646009
294,499,1,3,2,36,Zona Sul,Casa,342841
295,424,2,1,3,32,Centro,Studio,524397
296,269,3,3,2,21,Centro,Casa,1320541
297,173,4,2,1,30,Zona Leste,Casa,1909631
298,126,4,1,3,45,Centro,Casa,1804303
299,230,3,2,2,11,Centro,Cobertura,531292
300,153,1,2,0,44,Centro,Studio,616780
301,216,3,2,3,13,Zona Sul,Casa,1317492
302,355,1,2,3,11,Zona Leste,Casa,1502605
303,493,2,2,1,26,Zona Oeste,Casa,909741
304,378,3,1,1,12,Zona Oeste,Casa,549188
305,288,1,2,0,23,Zona Oeste,Casa,1004833
306,177,2,1,2,37,Zona Oeste,Casa,1994916
307,281,3,3,2,46,Zona Leste,Studio,751109
308,472,4,2,3,47,Centro,Studio,430881
309,449,3,2,3,8,Zona Oeste,Studio,445984
310,432,5,3,2,7,Centro,Apartamento,846159
311,375,3,1,2,36,Zona Oeste,Apartamento,1946293
312,480,5,2,2,14,Zona Sul,Cobertura,1748680
313,176,2,3,3,6,Centro,Studio,1722168
314,177,3,3,1,23,Zona Leste,Studio,1595597
315,381,2,2,1,48,Zona Sul,Studio,1172477
316,228,2,1,0,15,Zona Sul,Casa,1499816
317,337,1,1,2,23,Zona Leste,Casa,1947228
318,446,2,2,2,42,Zona Sul,Cobertura,408836
319,453,2,3,2,6,Centro,Studio,764622
320,157,3,2,0,42,Zona Norte,Casa,1712105
321,68,3,1,2,27,Zona Norte,Studio,1384848
322,367,4,3,1,1,Zona Oeste,Studio,399010
323,389,1,2,2,33,Zona Oeste,Casa,1303608
324,158,2,3,0,37,Centro,Casa,1069514
325,296,1,1,3,2,Zona Leste,Apartamento,1980059
326,470,5,1,3,0,Centro,Casa,1291661
327,463,2,1,1,30,Zona Oeste,Apartamento,1893457
328,180,1,2,1,22,Zona Sul,Casa,351710
329,444,4,3,1,19,Centro,Studio,633921
330,327,4,2,3,15,Centro,Casa,987002
331,128,2,2,2,45,Zona Leste,Cobertura,1036136
332,292,5,2,0,31,Zona Oeste,Studio,1464361
333,281,4,2,0,16,Centro,Cobertura,795834
334,173,4,3,2,17,Zona Sul,Studio,207096
335,375,5,3,3,3,Zona Sul,Casa,1933228
336,141,1,2,3,34,Zona Norte,Casa,1713618
337,89,4,2,0,39,Zona Oeste,Casa,1477091
338,398,3,1,1,35,Zona Sul,Apartamento,1867547
339,31,4,1,1,22,Zona Leste,Casa,1386543
340,414,1,3,0,14,Zona Oeste,Cobertura,1671723
341,333,1,1,0,12,Zona Sul,Apartamento,1346191
342,283,2,3,2,13,Centro,Casa,1026462
343,169,3,3,2,13,Zona Oeste,Apartamento,985168
344,482,1,3,2,36,Zona Sul,Apartamento,911407
345,66,5,1,2,4,Centro,Studio,1540614
346,189,3,1,2,21,Zona Norte,Apartamento,1252001
347,38,3,3,2,27,Zona Oeste,Apartamento,657384
348,262,5,3,1,44,Zona Oeste,Studio,1497370
349,128,4,2,0,3,Zona Sul,Casa,1437067
350,176,5,3,3,49,Zona Norte,Cobertura,147486
351,333,5,3,2,37,Zona Leste,Apartamento,167148
352,237,4,2,1,28,Zona Sul,Cobertura,980717
353,160,4,3,0,36,Zona Sul,Apartamento,522219
354,433,4,3,0,34,Zona Leste,Cobertura,1441602
355,181,4,3,0,19,Zona Leste,Studio,808757
356,83,4,2,2,34,Zona Leste,Apartamento,1674868
357,149,5,1,2,34,Zona Leste,Apartamento,565455
358,190,2,3,3,19,Zona Leste,Casa,205073
359,437,2,2,2,1,Centro,Casa,777368
360,145,1,3,0,17,Centro,Apartamento,1335519
361,104,2,2,0,29,Zona Leste,Studio,825141
362,142,2,3,1,41,Zona Norte,Cobertura,896232
363,485,5,2,1,28,Zona Norte,Casa,938702
364,449,4,1,3,38,Zona Leste,Casa,1852871
365,451,4,1,1,21,Centro,Casa,1247241
366,133,5,1,3,28,Zona Norte,Casa,1133908
367,369,2,3,1,45,Centro,Studio,331797
368,283,5,2,0,9,Zona Sul,Apartamento,672162
369,256,1,3,2,19,Centro,Cobertura,399102
370,141,4,3,2,15,Zona Leste,Casa,1057540
371,128,3,2,3,5,Zona Oeste,Studio,398373
372,182,1,3,2,16,Zona Leste,Studio,316973
373,378,1,2,2,5,Zona Sul,Casa,1359090
374,431,5,2,1,21,Centro,Cobertura,1688153
375,413,2,1,0,17,Zona Norte,Casa,1945329
376,395,4,1,2,31,Zona Leste,Studio,1509017
377,367,3,1,0,27,Zona Norte,Cobertura,252184
378,223,1,2,1,41,Centro,Studio,574083
379,339,3,1,1,9,Zona Sul,Apartamento,1945660
380,192,2,2,2,40,Zona Leste,Studio,511650
381,237,2,3,2,21,Zona Norte,Casa,882348
382,474,3,1,1,27,Zona Leste,Cobertura,1234755
383,198,4,2,1,14,Zona Leste,Casa,366856
384,190,2,2,3,42,Zona Norte,Apartamento,1158136
385,97,3,2,3,28,Zona Sul,Cobertura,730619
386,318,1,2,0,6,Zona Leste,Cobertura,1726277
387,427,3,1,1,49,Zona Sul,Cobertura,439018
388,306,3,1,0,33,Zona Sul,Studio,1498843
389,333,5,1,1,31,Centro,Casa,155016
390,433,2,2,0,1,Zona Norte,Cobertura,1695773
391,413,4,3,3,25,Centro,Cobertura,1442536
392,421,4,2,1,44,Zona Oeste,Cobertura,836021
393,164,5,3,1,10,Centro,Apartamento,977204
394,224,4,1,0,24,Zona Leste,Cobertura,514842
395,430,3,2,0,18,Zona Leste,Studio,1693810
396,157,5,2,2,19,Zona Leste,Studio,1468579
397,62,1,1,2,32,Zona Oeste,Cobertura,950400
398,205,2,2,3,16,Zona Sul,Studio,761740
399,489,2,3,1,29,Zona Leste,Studio,1616239
400,472,2,3,1,17,Centro,Cobertura,452427
401,400,3,3,0,31,Zona Sul,Studio,1719328
402,499,1,2,3,39,Centro,Apartamento,461917
403,404,5,2,1,44,Centro,Cobertura,1146734
404,51,5,3,3,3,Zona Leste,Casa,1575733
405,267,2,2,2,31,Centro,Studio,769407
406,187,1,3,0,18,Zona Oeste,Cobertura,1448154
407,67,1,1,1,2,Zona Sul,Casa,1776068
408,259,1,3,0,37,Zona Leste,Apartamento,297782
409,394,4,1,2,27,Zona Leste,Apartamento,316736
410,80,4,1,3,37,Centro,Cobertura,825104
411,467,2,1,3,5,Centro,Cobertura,1457031
412,293,1,3,2,39,Zona Norte,Apartamento,1879605
413,312,1,3,2,16,Zona Norte,Apartamento,1119839
414,56,5,2,1,41,Zona Leste,Apartamento,467079
415,255,5,2,1,4,Zona Leste,Casa,1146910
416,306,2,1,1,18,Centro,Casa,402013
417,315,1,3,1,42,Zona Oeste,Cobertura,1502229
418,126,2,2,1,41,Zona Oeste,Casa,1611349
419,313,5,2,3,34,Centro,Studio,1550681
420,396,5,2,1,21,Zona Norte,Apartamento,1281422
421,477,4,3,2,23,Zona Norte,Cobertura,646038
422,482,2,2,2,9,Zona Oeste,Casa,1291051
423,346,2,1,1,1,Zona Leste,Cobertura,327951
424,333,1,3,2,27,Centro,Casa,1643569
425,176,1,2,0,40,Zona Leste,Cobertura,1578623
426,33,4,2,3,36,Zona Norte,Apartamento,323938
427,64,3,3,3,16,Zona Oeste,Apartamento,419419
428,221,3,2,1,5,Zona Leste,Apartamento,1128451
429,78,3,2,0,42,Zona Norte,Casa,1701774
430,46,2,1,1,4,Zona Norte,Cobertura,1857696
431,201,2,3,1,38,Zona Norte,Cobertura,823576
432,249,5,2,2,6,Zona Leste,Cobertura,1761528
433,187,2,3,3,31,Zona Sul,Studio,890035
434,75,2,3,0,3,Zona Oeste,Casa,1299376
435,402,2,1,2,20,Zona Norte,Apartamento,1358672
436,35,4,1,3,41,Zona Leste,Apartamento,715829
437,128,2,3,3,31,Centro,Cobertura,749329
438,409,1,1,1,17,Zona Oeste,Cobertura,1702464
439,262,1,1,0,32,Centro,Studio,433593
440,66,5,2,1,13,Centro,Casa,1451706
441,309,4,1,2,5,Zona Leste,Cobertura,906587
442,378,1,1,1,10,Zona Sul,Cobertura,1272897
443,331,4,2,1,45,Zona Leste,Casa,1974518
444,210,4,2,3,19,Zona Leste,Cobertura,1898735
445,124,5,3,3,28,Zona Oeste,Apartamento,1981549
446,128,4,1,2,34,Zona Leste,Casa,1339219
447,217,2,2,3,15,Zona Oeste,Apartamento,1910998
448,145,4,1,3,47,Zona Norte,Studio,1124246
449,220,5,3,3,6,Zona Oeste,Cobertura,1806300
450,282,5,1,1,39,Zona Leste,Cobertura,418897
451,498,5,1,0,35,Zona Norte,Casa,1514376
452,445,1,1,2,43,Zona Norte,Studio,1481310
453,190,2,2,1,43,Zona Sul,Casa,984671
454,285,1,2,2,30,Zona Leste,Studio,1663405
455,352,3,3,1,41,Centro,Casa,1742365
456,157,2,1,2,43,Zona Leste,Casa,1873164
457,47,4,3,3,42,Centro,Cobertura,1710713
458,310,5,3,2,42,Zona Sul,Cobertura,101773
459,252,3,2,0,46,Zona Leste,Studio,1791442
460,83,2,1,2,5,Zona Sul,Apartamento,1303568
461,87,1,1,0,28,Centro,Apartamento,951610
462,352,5,3,2,26,Zona Oeste,Casa,353095
463,389,1,1,3,42,Zona Leste,Cobertura,1903331
464,203,2,2,2,1,Zona Norte,Casa,704936
465,309,2,3,1,21,Zona Norte,Studio,910935
466,143,3,3,3,8,Zona Sul,Casa,761466
467,317,4,2,3,10,Zona Oeste,Casa,1468810
468,460,1,2,1,15,Zona Norte,Casa,1289414
469,371,3,2,3,44,Zona Norte,Studio,1359150
470,180,5,2,3,12,Zona Leste,Studio,152753
471,479,4,2,1,17,Zona Norte,Casa,782035
472,156,3,2,3,24,Centro,Cobertura,660572
473,184,1,3,3,32,Zona Sul,Studio,1553789
474,415,2,1,3,9,Zona Norte,Apartamento,938436
475,302,5,1,3,29,Zona Leste,Casa,968943
476,133,1,3,2,48,Centro,Cobertura,297300
477,446,4,1,3,0,Zona Norte,Studio,543531
478,422,4,1,3,32,Zona Sul,Casa,767344
479,328,2,3,3,48,Zona Sul,Cobertura,649272
480,275,2,1,2,14,Zona Sul,Apartamento,1085422
481,205,5,1,0,28,Zona Norte,Studio,449464
482,68,5,3,3,1,Centro,Studio,1484852
483,199,2,1,0,10,Zona Oeste,Apartamento,753433
484,276,2,2,0,33,Zona Sul,Studio,1760759
485,55,4,3,1,40,Centro,Cobertura,1890598
486,384,2,1,1,18,Zona Leste,Studio,1672852
487,335,3,1,0,1,Zona Leste,Casa,1526891
488,438,1,2,2,47,Centro,Apartamento,1212752
489,437,2,3,3,19,Zona Leste,Casa,547526
490,42,5,3,3,40,Zona Leste,Studio,1763840
491,345,3,1,3,30,Zona Sul,Casa,953552
492,420,5,2,1,3,Zona Norte,Cobertura,599928
493,342,3,2,1,28,Zona Norte,Casa,959381
494,65,2,2,3,29,Zona Norte,Cobertura,1427846
495,202,1,2,0,12,Zona Norte,Cobertura,1120321
496,49,5,2,1,14,Centro,Cobertura,1553822
497,350,3,2,3,19,Zona Sul,Apartamento,1078122
498,293,4,3,0,33,Centro,Casa,1538351
499,429,2,1,3,27,Zona Leste,Cobertura,764415
500,171,1,1,1,19,Zona Sul,Cobertura,644654
501,489,2,2,2,49,Zona Oeste,Casa,1642951
502,400,4,3,2,24,Zona Norte,Studio,972398
503,172,1,3,1,26,Zona Leste,Apartamento,654502
504,121,4,2,0,29,Zona Norte,Cobertura,1971460
505,383,2,1,3,40,Zona Norte,Studio,1456071
506,351,3,2,1,19,Zona Norte,Studio,1279461
507,317,2,3,0,0,Zona Oeste,Studio,1640069
508,244,2,2,3,34,Zona Leste,Cobertura,1624827
509,476,2,1,3,48,Zona Norte,Cobertura,1741237
510,371,5,1,1,42,Zona Norte,Cobertura,496644
511,80,4,3,3,23,Zona Sul,Casa,1806129
512,182,4,2,2,24,Zona Norte,Cobertura,1168298
513,215,4,2,2,39,Zona Sul,Apartamento,1543958
